Time,Frequencies (GHz),Data (dBm)
0:6,1.0,-77.152
0:6,1.0272727272727273,-76.236
0:6,1.0545454545454545,-77.223999
0:6,1.0818181818181818,-76.339996
0:6,1.1090909090909091,-76.811996
0:6,1.1363636363636362,-76.524002
0:6,1.1636363636363636,-76.556
0:6,1.190909090909091,-77.391998
0:6,1.2181818181818183,-76.491997
0:6,1.2454545454545454,-76.515999
0:6,1.2727272727272727,-76.559998
0:6,1.3,-76.599998
0:6,1.3272727272727272,-77.559998
0:6,1.3545454545454545,-76.823997
0:6,1.3818181818181818,-76.896004
0:6,1.4090909090909092,-77.012001
0:6,1.4363636363636363,-76.844002
0:6,1.4636363636363636,-77.447998
0:6,1.490909090909091,-76.987999
0:6,1.518181818181818,-77.059998
0:6,1.5454545454545454,-77.531998
0:6,1.5727272727272728,-77.164001
0:6,1.6,-77.608002
0:6,1.6272727272727272,-77.223999
0:6,1.6545454545454545,-77.251999
0:6,1.6818181818181817,-77.732002
0:6,1.709090909090909,-77.267998
0:6,1.7363636363636363,-77.699997
0:6,1.7636363636363637,-77.283997
0:6,1.790909090909091,-77.360001
0:6,1.8181818181818181,-77.776001
0:6,1.8454545454545455,-77.444
0:6,1.8727272727272726,-77.828003
0:6,1.9,-77.391998
0:6,1.9272727272727272,-77.592003
0:6,1.9545454545454546,-78.028
0:6,1.981818181818182,-77.559998
0:6,2.009090909090909,-77.888
0:6,2.036363636363636,-77.508003
0:6,2.0636363636363635,-77.587997
0:6,2.090909090909091,-78.052002
0:6,2.118181818181818,-77.515999
0:6,2.1454545454545455,-77.764
0:6,2.172727272727273,-77.515999
0:6,2.2,-77.683998
0:6,2.2272727272727275,-78.075996
0:6,2.2545454545454544,-77.828003
0:6,2.2818181818181817,-78.052002
0:6,2.309090909090909,-78.115997
0:6,2.336363636363636,-78.223999
0:6,2.3636363636363633,-78.528
0:6,2.3909090909090907,-78.176003
0:6,2.418181818181818,-78.096001
0:6,2.4454545454545453,-78.304001
0:6,2.4727272727272727,-78.087997
0:6,2.5,-78.316002
0:6,2.5272727272727273,-78.227997
0:6,2.5545454545454547,-78.344002
0:6,2.581818181818182,-78.480003
0:6,2.609090909090909,-78.519997
0:6,2.6363636363636362,-78.531998
0:6,2.6636363636363636,-78.412003
0:6,2.690909090909091,-78.472
0:6,2.718181818181818,-78.671997
0:6,2.745454545454545,-78.596001
0:6,2.7727272727272725,-78.688004
0:6,2.8,-78.664001
0:6,2.827272727272727,-78.795998
0:6,2.8545454545454545,-78.655998
0:6,2.881818181818182,-78.632004
0:6,2.909090909090909,-78.547997
0:6,2.9363636363636365,-78.508003
0:6,2.963636363636364,-78.744003
0:6,2.9909090909090907,-78.723999
0:6,3.018181818181818,-78.875999
0:6,3.0454545454545454,-78.683998
0:6,3.0727272727272728,-78.82
0:6,3.1,-78.944
0:6,3.127272727272727,-78.816002
0:6,3.1545454545454543,-78.963997
0:6,3.1818181818181817,-78.928001
0:6,3.209090909090909,-78.987999
0:6,3.2363636363636363,-79.208
0:6,3.2636363636363637,-79.208
0:6,3.290909090909091,-79.267998
0:6,3.318181818181818,-78.956001
0:6,3.3454545454545452,-78.928001
0:6,3.3727272727272726,-79.043999
0:6,3.4,-79.099998
0:6,3.4272727272727272,-79.208
0:6,3.4545454545454546,-79.384003
0:6,3.4818181818181815,-79.5
0:6,3.509090909090909,-79.519997
0:6,3.536363636363636,-79.543999
0:6,3.5636363636363635,-79.428001
0:6,3.590909090909091,-79.396004
0:6,3.618181818181818,-79.344002
0:6,3.6454545454545455,-79.283997
0:6,3.6727272727272724,-79.211998
0:6,3.6999999999999997,-79.112
0:6,3.727272727272727,-79.155998
0:6,3.7545454545454544,-79.160004
0:6,3.7818181818181817,-79.008003
0:6,3.809090909090909,-78.947998
0:6,3.8363636363636364,-78.863998
0:6,3.8636363636363633,-78.823997
0:6,3.8909090909090907,-78.900002
0:6,3.918181818181818,-78.879997
0:6,3.9454545454545453,-78.975998
0:6,3.9727272727272727,-79.084
0:6,4.0,-79.199997
0:6,4.027272727272727,-79.431999
0:6,4.054545454545455,-79.463997
0:6,4.081818181818182,-79.716003
0:6,4.109090909090909,-79.832001
0:6,4.136363636363637,-79.935997
0:6,4.163636363636364,-80.080002
0:6,4.190909090909091,-80.040001
0:6,4.218181818181818,-80.092003
0:6,4.245454545454545,-80.059998
0:6,4.2727272727272725,-80.019997
0:6,4.3,-80.056
0:6,4.327272727272727,-79.875999
0:6,4.3545454545454545,-79.875999
0:6,4.381818181818182,-79.987999
0:6,4.409090909090908,-79.816002
0:6,4.436363636363636,-79.972
0:6,4.463636363636363,-79.811996
0:6,4.49090909090909,-79.867996
0:6,4.518181818181818,-80.040001
0:6,4.545454545454545,-80.295998
0:6,4.572727272727272,-80.267998
0:6,4.6,-80.468002
0:6,4.627272727272727,-80.547997
0:6,4.654545454545454,-80.624001
0:6,4.681818181818182,-80.447998
0:6,4.709090909090909,-80.508003
0:6,4.736363636363636,-80.332001
0:6,4.763636363636364,-80.332001
0:6,4.790909090909091,-80.223999
